Month,Influenza: (United States),flu: (United States),Pneumonia: (United States),Control: (United States)
2004-01,9,7,3,53
2004-02,7,6,3,55
2004-03,4,3,3,57
2004-04,3,2,3,60
2004-05,2,2,2,56
2004-06,2,1,2,63
2004-07,2,1,2,60
2004-08,2,2,2,57
2004-09,4,4,2,59
2004-10,28,26,3,63
2004-11,11,10,3,54
2004-12,9,8,3,53
2005-01,9,8,4,53
2005-02,12,12,4,54
2005-03,8,6,4,53
2005-04,4,4,3,53
2005-05,3,3,3,56
2005-06,3,2,2,56
2005-07,3,2,2,57
2005-08,3,2,2,53
2005-09,8,7,2,52
2005-10,33,31,3,51
2005-11,26,26,3,50
2005-12,12,11,3,48
2006-01,10,10,3,47
2006-02,10,10,4,49
2006-03,15,13,3,49
2006-04,9,7,3,50
2006-05,11,10,2,50
2006-06,6,5,2,48
2006-07,4,3,2,48
2006-08,4,3,2,47
2006-09,5,5,2,48
2006-10,15,13,3,49
2006-11,13,12,3,46
2006-12,8,8,3,44
2007-01,7,7,4,45
2007-02,9,8,4,45
2007-03,6,5,3,45
2007-04,4,4,3,46
2007-05,3,3,2,49
2007-06,3,2,2,49
2007-07,2,2,2,46
2007-08,2,2,2,46
2007-09,5,4,2,46
2007-10,13,12,3,48
2007-11,11,10,3,48
2007-12,6,6,3,47
2008-01,7,6,4,42
2008-02,16,13,4,46
2008-03,9,7,4,46
2008-04,5,3,3,47
2008-05,3,2,2,46
2008-06,2,2,2,48
2008-07,2,2,2,48
2008-08,2,2,2,44
2008-09,4,4,2,45
2008-10,14,12,3,45
2008-11,11,11,3,46
2008-12,7,6,3,46
2009-01,6,6,4,45
2009-02,9,8,4,45
2009-03,7,5,4,46
2009-04,100,91,3,46
2009-05,80,71,3,45
2009-06,24,19,2,47
2009-07,21,14,2,46
2009-08,28,22,2,46
2009-09,56,51,3,49
2009-10,89,84,5,47
2009-11,51,44,4,46
2009-12,17,16,4,44
2010-01,10,9,3,43
2010-02,6,6,4,43
2010-03,5,4,4,46
2010-04,4,3,3,52
2010-05,3,3,3,47
2010-06,3,2,2,47
2010-07,2,2,2,43
2010-08,3,3,2,42
2010-09,8,7,3,40
2010-10,11,10,4,44
2010-11,8,7,4,42
2010-12,7,7,4,40
2011-01,9,9,5,42
2011-02,11,10,5,45
2011-03,7,6,4,44
2011-04,4,4,4,45
2011-05,3,3,3,46
2011-06,2,2,2,47
2011-07,2,2,2,44
2011-08,3,2,2,44
2011-09,8,7,3,45
2011-10,10,10,4,44
2011-11,8,8,5,44
2011-12,6,7,4,43
2012-01,6,7,5,41
2012-02,7,7,5,45
2012-03,6,6,4,46
2012-04,4,4,4,45
2012-05,3,3,3,44
2012-06,3,3,3,44
2012-07,2,2,3,42
2012-08,4,4,3,45
2012-09,8,7,4,42
2012-10,11,11,4,43
2012-11,10,9,5,41
2012-12,15,16,5,46
2013-01,43,40,6,50
2013-02,12,12,5,46
2013-03,8,8,4,44
2013-04,6,6,4,53
2013-05,3,4,3,44
2013-06,3,2,3,45
2013-07,2,2,2,45
2013-08,3,3,2,53
2013-09,8,8,3,47
2013-10,13,13,4,44
2013-11,10,10,4,42
2013-12,13,13,5,44
2014-01,24,23,6,43
2014-02,10,10,5,41
2014-03,6,7,4,43
2014-04,5,5,4,44
2014-05,4,4,4,46
2014-06,3,3,3,44
2014-07,3,3,3,46
2014-08,3,3,3,40
2014-09,9,8,4,45
2014-10,16,16,4,43
2014-11,11,11,5,43
2014-12,20,19,6,42
2015-01,21,20,6,40
2015-02,11,11,5,41
2015-03,8,8,5,44
2015-04,7,7,5,46
2015-05,5,5,4,45
2015-06,4,3,3,46
2015-07,3,3,3,46
2015-08,3,3,3,44
2015-09,8,8,4,46
2015-10,14,14,5,46
2015-11,10,10,5,43
2015-12,9,9,5,45
2016-01,8,8,5,45
2016-02,10,10,6,45
2016-03,12,11,6,47
2016-04,7,7,4,46
2016-05,5,6,4,45
2016-06,3,4,3,49
2016-07,2,3,3,44
2016-08,3,4,3,43
2016-09,9,9,6,45
2016-10,12,13,5,44
2016-11,10,9,5,44
2016-12,10,10,6,42
2017-01,14,14,6,44
2017-02,19,18,6,45
2017-03,12,11,5,43
2017-04,7,7,4,44
2017-05,5,5,4,46
2017-06,4,4,3,46
2017-07,3,3,3,45
2017-08,4,4,3,42
2017-09,9,9,4,44
2017-10,14,14,5,48
2017-11,12,12,5,46
2017-12,20,20,6,42
2018-01,61,62,9,43
2018-02,53,51,8,49
2018-03,15,14,5,48
2018-04,8,8,5,45
2018-05,5,5,4,47
2018-06,4,4,3,47
2018-07,3,4,3,46
2018-08,4,4,3,46
2018-09,11,11,4,46
2018-10,21,21,5,46
2018-11,14,14,6,44
2018-12,14,14,6,42
2019-01,20,20,7,42
2019-02,25,23,7,45
2019-03,18,17,6,44
2019-04,9,8,5,43
2019-05,5,5,5,44
2019-06,4,4,4,45
2019-07,3,3,3,46
2019-08,4,5,3,49
2019-09,12,12,5,46
2019-10,21,20,6,44
2019-11,17,17,6,42
2019-12,24,24,8,44
2020-01,38,35,9,44
2020-02,47,42,10,43
2020-03,93,91,13,41
2020-04,41,39,7,45
2020-05,21,19,4,53
2020-06,11,11,3,49
2020-07,17,15,4,49
2020-08,15,15,3,46
2020-09,23,21,4,48
2020-10,28,27,4,50
2020-11,18,18,4,44
2020-12,17,16,6,43
2021-01,12,11,5,43
2021-02,9,8,4,48
2021-03,7,7,3,47
2021-04,7,7,4,47
2021-05,6,6,3,48
2021-06,7,7,3,47
2021-07,6,6,4,45
2021-08,11,10,6,44
2021-09,16,16,6,44
2021-10,19,19,5,44
2021-11,17,17,5,45
2021-12,20,18,7,42
2022-01,17,16,8,45
2022-02,8,8,5,48
2022-03,9,9,4,50
2022-04,10,10,4,50
2022-05,9,8,4,49
2022-06,6,6,4,52
2022-07,5,5,4,49
2022-08,6,6,4,47
2022-09,12,12,4,49
2022-10,20,19,5,46
